iter	Passed	Remaining
850	2700	472
851	2702	469
852	2707	466
853	2710	463
854	2713	460
855	2715	456
856	2718	453
857	2722	450
858	2725	447
859	2728	444
860	2731	440
861	2733	437
862	2736	434
863	2740	431
864	2743	428
865	2745	424
866	2748	421
867	2751	418
868	2755	415
869	2758	412
870	2761	408
871	2764	405
872	2767	402
873	2771	399
874	2774	396
875	2776	393
876	2779	389
877	2782	386
878	2785	383
879	2788	380
880	2791	377
881	2794	373
882	2796	370
883	2800	367
884	2803	364
885	2807	361
886	2811	358
887	2814	354
888	2816	351
889	2819	348
890	2822	345
891	2826	342
892	2829	339
893	2831	335
894	2835	332
895	2839	329
896	2843	326
897	2846	323
898	2852	320
899	2855	317
900	2858	314
901	2862	310
902	2865	307
903	2871	304
904	2873	301
905	2876	298
906	2879	295
907	2884	292
908	2889	289
909	2893	286
910	2896	282
911	2901	279
912	2904	276
913	2907	273
914	2910	270
915	2913	267
916	2918	264
917	2922	261
918	2928	258
919	2931	254
920	2935	251
921	2939	248
922	2942	245
923	2945	242
924	2950	239
925	2955	236
926	2958	232
927	2961	229
928	2967	226
929	2971	223
930	2974	220
931	2979	217
932	2983	214
933	2986	211
934	2989	207
935	2992	204
936	2997	201
937	3001	198
938	3004	195
939	3007	191
940	3012	188
941	3016	185
942	3019	182
943	3022	179
944	3027	176
945	3031	173
946	3034	169
947	3038	166
948	3042	163
949	3047	160
950	3050	157
951	3053	153
952	3056	150
953	3061	147
954	3066	144
955	3069	141
956	3072	138
957	3077	134
958	3081	131
959	3084	128
960	3086	125
961	3092	122
962	3096	118
963	3099	115
964	3102	112
965	3107	109
966	3110	106
967	3113	102
968	3116	99
969	3119	96
970	3123	93
971	3126	90
972	3129	86
973	3131	83
974	3135	80
975	3139	77
976	3143	73
977	3146	70
978	3148	67
979	3153	64
980	3157	61
981	3159	57
982	3162	54
983	3165	51
984	3169	48
985	3173	45
986	3176	41
987	3179	38
988	3182	35
989	3188	32
990	3191	28
991	3194	25
992	3197	22
993	3202	19
994	3205	16
995	3207	12
996	3210	9
997	3214	6
998	3218	3
999	3221	0
